"actual","year","month","wday","day","longterm_actual","mid_actual","short_actual"
20380,2013,1,"Di",1,20702.9544520548,77.25388127854,-400.208333333341
21574,2013,1,"Di",1,20702.9544520548,77.25388127854,793.791666666659
20697,2013,1,"Di",1,20702.9544520548,77.25388127854,-83.2083333333406
19961,2013,1,"Di",1,20702.9544520548,77.25388127854,-819.208333333341
19529,2013,1,"Di",1,20702.9544520548,77.25388127854,-1251.20833333334
19468,2013,1,"Di",1,20702.9544520548,77.25388127854,-1312.20833333334
19241,2013,1,"Di",1,20702.9544520548,77.25388127854,-1539.20833333334
18953,2013,1,"Di",1,20702.9544520548,77.25388127854,-1827.20833333334
18485,2013,1,"Di",1,20702.9544520548,77.25388127854,-2295.20833333334
19304,2013,1,"Di",1,20702.9544520548,77.25388127854,-1476.20833333334
19887,2013,1,"Di",1,20702.9544520548,77.25388127854,-893.208333333341
20327,2013,1,"Di",1,20702.9544520548,77.25388127854,-453.208333333341
20478,2013,1,"Di",1,20702.9544520548,77.25388127854,-302.208333333341
20185,2013,1,"Di",1,20702.9544520548,77.25388127854,-595.208333333341
20183,2013,1,"Di",1,20702.9544520548,77.25388127854,-597.208333333341
20288,2013,1,"Di",1,20702.9544520548,77.25388127854,-492.208333333341
21172,2013,1,"Di",1,20702.9544520548,77.25388127854,391.791666666659
22903,2013,1,"Di",1,20702.9544520548,77.25388127854,2122.79166666666
23475,2013,1,"Di",1,20702.9544520548,77.25388127854,2694.79166666666
23215,2013,1,"Di",1,20702.9544520548,77.25388127854,2434.79166666666
22934,2013,1,"Di",1,20702.9544520548,77.25388127854,2153.79166666666
22630,2013,1,"Di",1,20702.9544520548,77.25388127854,1849.79166666666
22316,2013,1,"Di",1,20702.9544520548,77.25388127854,1535.79166666666
21140,2013,1,"Di",1,20702.9544520548,77.25388127854,359.791666666659
20380,2013,1,"Mi",2,20702.9544520548,1593.33721461187,-1916.29166666667
19535,2013,1,"Mi",2,20702.9544520548,1593.33721461187,-2761.29166666667
19106,2013,1,"Mi",2,20702.9544520548,1593.33721461187,-3190.29166666667
18810,2013,1,"Mi",2,20702.9544520548,1593.33721461187,-3486.29166666667
18611,2013,1,"Mi",2,20702.9544520548,1593.33721461187,-3685.29166666667
19068,2013,1,"Mi",2,20702.9544520548,1593.33721461187,-3228.29166666667
19681,2013,1,"Mi",2,20702.9544520548,1593.33721461187,-2615.29166666667
20763,2013,1,"Mi",2,20702.9544520548,1593.33721461187,-1533.29166666667
21466,2013,1,"Mi",2,20702.9544520548,1593.33721461187,-830.291666666671
22650,2013,1,"Mi",2,20702.9544520548,1593.33721461187,353.708333333329
23428,2013,1,"Mi",2,20702.9544520548,1593.33721461187,1131.70833333333
23731,2013,1,"Mi",2,20702.9544520548,1593.33721461187,1434.70833333333
23388,2013,1,"Mi",2,20702.9544520548,1593.33721461187,1091.70833333333
23092,2013,1,"Mi",2,20702.9544520548,1593.33721461187,795.708333333329
23093,2013,1,"Mi",2,20702.9544520548,1593.33721461187,796.708333333329
23221,2013,1,"Mi",2,20702.9544520548,1593.33721461187,924.708333333329
23930,2013,1,"Mi",2,20702.9544520548,1593.33721461187,1633.70833333333
25512,2013,1,"Mi",2,20702.9544520548,1593.33721461187,3215.70833333333
25668,2013,1,"Mi",2,20702.9544520548,1593.33721461187,3371.70833333333
25228,2013,1,"Mi",2,20702.9544520548,1593.33721461187,2931.70833333333
24779,2013,1,"Mi",2,20702.9544520548,1593.33721461187,2482.70833333333
24243,2013,1,"Mi",2,20702.9544520548,1593.33721461187,1946.70833333333
23435,2013,1,"Mi",2,20702.9544520548,1593.33721461187,1138.70833333333
22293,2013,1,"Mi",2,20702.9544520548,1593.33721461187,-3.29166666667061
21134,2013,1,"Do",3,20702.9544520548,2274.08721461187,-1843.04166666667
20167,2013,1,"Do",3,20702.9544520548,2274.08721461187,-2810.04166666667
19482,2013,1,"Do",3,20702.9544520548,2274.08721461187,-3495.04166666667
19175,2013,1,"Do",3,20702.9544520548,2274.08721461187,-3802.04166666667
19440,2013,1,"Do",3,20702.9544520548,2274.08721461187,-3537.04166666667
19459,2013,1,"Do",3,20702.9544520548,2274.08721461187,-3518.04166666667
20288,2013,1,"Do",3,20702.9544520548,2274.08721461187,-2689.04166666667
21219,2013,1,"Do",3,20702.9544520548,2274.08721461187,-1758.04166666667
22080,2013,1,"Do",3,20702.9544520548,2274.08721461187,-897.041666666671
23466,2013,1,"Do",3,20702.9544520548,2274.08721461187,488.958333333329
23961,2013,1,"Do",3,20702.9544520548,2274.08721461187,983.958333333329
24305,2013,1,"Do",3,20702.9544520548,2274.08721461187,1327.95833333333
24209,2013,1,"Do",3,20702.9544520548,2274.08721461187,1231.95833333333
24401,2013,1,"Do",3,20702.9544520548,2274.08721461187,1423.95833333333
24335,2013,1,"Do",3,20702.9544520548,2274.08721461187,1357.95833333333
24522,2013,1,"Do",3,20702.9544520548,2274.08721461187,1544.95833333333
25165,2013,1,"Do",3,20702.9544520548,2274.08721461187,2187.95833333333
26211,2013,1,"Do",3,20702.9544520548,2274.08721461187,3233.95833333333
26421,2013,1,"Do",3,20702.9544520548,2274.08721461187,3443.95833333333
25923,2013,1,"Do",3,20702.9544520548,2274.08721461187,2945.95833333333
25253,2013,1,"Do",3,20702.9544520548,2274.08721461187,2275.95833333333
24547,2013,1,"Do",3,20702.9544520548,2274.08721461187,1569.95833333333
23845,2013,1,"Do",3,20702.9544520548,2274.08721461187,867.958333333329
22441,2013,1,"Do",3,20702.9544520548,2274.08721461187,-536.041666666671
21511,2013,1,"Fr",4,20702.9544520548,2413.67054794521,-1605.62500000001
20239,2013,1,"Fr",4,20702.9544520548,2413.67054794521,-2877.62500000001
19612,2013,1,"Fr",4,20702.9544520548,2413.67054794521,-3504.62500000001
19569,2013,1,"Fr",4,20702.9544520548,2413.67054794521,-3547.62500000001
19459,2013,1,"Fr",4,20702.9544520548,2413.67054794521,-3657.62500000001
19519,2013,1,"Fr",4,20702.9544520548,2413.67054794521,-3597.62500000001
20502,2013,1,"Fr",4,20702.9544520548,2413.67054794521,-2614.62500000001
21496,2013,1,"Fr",4,20702.9544520548,2413.67054794521,-1620.62500000001
22186,2013,1,"Fr",4,20702.9544520548,2413.67054794521,-930.62500000001
23949,2013,1,"Fr",4,20702.9544520548,2413.67054794521,832.37499999999
24126,2013,1,"Fr",4,20702.9544520548,2413.67054794521,1009.37499999999
24509,2013,1,"Fr",4,20702.9544520548,2413.67054794521,1392.37499999999
24352,2013,1,"Fr",4,20702.9544520548,2413.67054794521,1235.37499999999
24411,2013,1,"Fr",4,20702.9544520548,2413.67054794521,1294.37499999999
24448,2013,1,"Fr",4,20702.9544520548,2413.67054794521,1331.37499999999
24423,2013,1,"Fr",4,20702.9544520548,2413.67054794521,1306.37499999999
25242,2013,1,"Fr",4,20702.9544520548,2413.67054794521,2125.37499999999
26260,2013,1,"Fr",4,20702.9544520548,2413.67054794521,3143.37499999999
26453,2013,1,"Fr",4,20702.9544520548,2413.67054794521,3336.37499999999
25888,2013,1,"Fr",4,20702.9544520548,2413.67054794521,2771.37499999999
25405,2013,1,"Fr",4,20702.9544520548,2413.67054794521,2288.37499999999
24772,2013,1,"Fr",4,20702.9544520548,2413.67054794521,1655.37499999999
24013,2013,1,"Fr",4,20702.9544520548,2413.67054794521,896.37499999999
22455,2013,1,"Fr",4,20702.9544520548,2413.67054794521,-661.62500000001
21651,2013,1,"Sa",5,20702.9544520548,1948.87888127854,-1000.83333333334
20246,2013,1,"Sa",5,20702.9544520548,1948.87888127854,-2405.83333333334
19574,2013,1,"Sa",5,20702.9544520548,1948.87888127854,-3077.83333333334
19174,2013,1,"Sa",5,20702.9544520548,1948.87888127854,-3477.83333333334
19283,2013,1,"Sa",5,20702.9544520548,1948.87888127854,-3368.83333333334
19534,2013,1,"Sa",5,20702.9544520548,1948.87888127854,-3117.83333333334
19651,2013,1,"Sa",5,20702.9544520548,1948.87888127854,-3000.83333333334
20380,2013,1,"Sa",5,20702.9544520548,1948.87888127854,-2271.83333333334
20758,2013,1,"Sa",5,20702.9544520548,1948.87888127854,-1893.83333333334
22063,2013,1,"Sa",5,20702.9544520548,1948.87888127854,-588.833333333341
22988,2013,1,"Sa",5,20702.9544520548,1948.87888127854,336.166666666659
23513,2013,1,"Sa",5,20702.9544520548,1948.87888127854,861.166666666659
23590,2013,1,"Sa",5,20702.9544520548,1948.87888127854,938.166666666659
23753,2013,1,"Sa",5,20702.9544520548,1948.87888127854,1101.16666666666
23845,2013,1,"Sa",5,20702.9544520548,1948.87888127854,1193.16666666666
23873,2013,1,"Sa",5,20702.9544520548,1948.87888127854,1221.16666666666
24733,2013,1,"Sa",5,20702.9544520548,1948.87888127854,2081.16666666666
26142,2013,1,"Sa",5,20702.9544520548,1948.87888127854,3490.16666666666
26279,2013,1,"Sa",5,20702.9544520548,1948.87888127854,3627.16666666666
25892,2013,1,"Sa",5,20702.9544520548,1948.87888127854,3240.16666666666
25275,2013,1,"Sa",5,20702.9544520548,1948.87888127854,2623.16666666666
24933,2013,1,"Sa",5,20702.9544520548,1948.87888127854,2281.16666666666
23956,2013,1,"Sa",5,20702.9544520548,1948.87888127854,1304.16666666666
22558,2013,1,"Sa",5,20702.9544520548,1948.87888127854,-93.8333333333405
21573,2013,1,"So",6,20702.9544520548,1253.25388127854,-383.208333333341
20375,2013,1,"So",6,20702.9544520548,1253.25388127854,-1581.20833333334
19675,2013,1,"So",6,20702.9544520548,1253.25388127854,-2281.20833333334
19355,2013,1,"So",6,20702.9544520548,1253.25388127854,-2601.20833333334
19238,2013,1,"So",6,20702.9544520548,1253.25388127854,-2718.20833333334
19387,2013,1,"So",6,20702.9544520548,1253.25388127854,-2569.20833333334
19626,2013,1,"So",6,20702.9544520548,1253.25388127854,-2330.20833333334
19912,2013,1,"So",6,20702.9544520548,1253.25388127854,-2044.20833333334
20206,2013,1,"So",6,20702.9544520548,1253.25388127854,-1750.20833333334
21430,2013,1,"So",6,20702.9544520548,1253.25388127854,-526.208333333341
22350,2013,1,"So",6,20702.9544520548,1253.25388127854,393.791666666659
22731,2013,1,"So",6,20702.9544520548,1253.25388127854,774.791666666659
22876,2013,1,"So",6,20702.9544520548,1253.25388127854,919.791666666659
22966,2013,1,"So",6,20702.9544520548,1253.25388127854,1009.79166666666
22968,2013,1,"So",6,20702.9544520548,1253.25388127854,1011.79166666666
23291,2013,1,"So",6,20702.9544520548,1253.25388127854,1334.79166666666
24045,2013,1,"So",6,20702.9544520548,1253.25388127854,2088.79166666666
24945,2013,1,"So",6,20702.9544520548,1253.25388127854,2988.79166666666
24995,2013,1,"So",6,20702.9544520548,1253.25388127854,3038.79166666666
24190,2013,1,"So",6,20702.9544520548,1253.25388127854,2233.79166666666
23394,2013,1,"So",6,20702.9544520548,1253.25388127854,1437.79166666666
23036,2013,1,"So",6,20702.9544520548,1253.25388127854,1079.79166666666
22556,2013,1,"So",6,20702.9544520548,1253.25388127854,599.791666666659
21829,2013,1,"So",6,20702.9544520548,1253.25388127854,-127.208333333341
21119,2013,1,"Mo",7,20702.9544520548,531.25388127854,-115.208333333341
20118,2013,1,"Mo",7,20702.9544520548,531.25388127854,-1116.20833333334
19292,2013,1,"Mo",7,20702.9544520548,531.25388127854,-1942.20833333334
19055,2013,1,"Mo",7,20702.9544520548,531.25388127854,-2179.20833333334
18974,2013,1,"Mo",7,20702.9544520548,531.25388127854,-2260.20833333334
19220,2013,1,"Mo",7,20702.9544520548,531.25388127854,-2014.20833333334
