"year","month","day","wday","mid_load","target_residuals","lm_pred","index","lstm","arima_lstm","stoch","full_model","res_full_model"
2013,1,"HD","Di",77.25388127854,-157.162193891411,234.416075169951,1,0,-156.987705332202,-156.987705332202,77.428369837749,-0.174488559208953
2013,1,"WD","Mi",1593.33721461187,157.162193890061,1436.17502072181,2,0,-129.154245172998,-129.154245172998,1307.02077554881,286.316439063059
2013,1,"WD","Do",2274.08721461187,-679.388544721431,2953.4757593333,3,0,30.5249184182406,30.5249184182406,2984.00067775154,-709.913463139671
2013,1,"WD","Fr",2413.67054794521,-356.130926116677,2769.80147406189,4,0,-445.59447467035,-445.59447467035,2324.20699939154,89.4635485536701
2013,1,"WE","Sa",1948.87888127854,-12.6422084944368,1961.52108977298,5,0,-362.692382381152,-362.692382381152,1598.82870739183,350.050173886712
2013,1,"WE","So",1253.25388127854,-366.244730271257,1619.4986115498,6,0,-111.988742308713,-111.988742308713,1507.50986924109,-254.255987962547
2013,1,"HD","Mo",531.25388127854,-1307.63335844184,1838.88723972038,7,0,-271.303245478945,-271.303245478945,1567.58399424144,-1036.3301129629
2013,1,"WD","Di",2577.54554794521,-998.923731564265,3576.46927950947,8,0,-909.139460244187,-909.139460244187,2667.32981926528,-89.7842713200739
2013,1,"WD","Mi",3448.04554794521,-726.262774415781,4174.30832236099,9,0,-878.183988595582,-878.183988595582,3296.12433376541,151.921214179802
2013,1,"WD","Do",4119.58721461187,-172.981579766077,4292.56879437795,10,0,-794.606911199602,-794.606911199602,3497.96188317835,621.625331433522
2013,1,"WD","Fr",3854.54554794521,-138.549348721873,3993.09489666708,11,0,-244.42676535578,-244.42676535578,3748.6681313113,105.877416633909
2013,1,"WE","Sa",3048.79554794521,-364.682903470325,3413.47845141553,12,0,-85.4220774505716,-85.4220774505716,3328.05637396496,-279.260826019748
2013,1,"WE","So",2479.25388127854,1.20408925997708,2478.04979201856,13,0,-379.737463841913,-379.737463841913,2098.31232817665,380.941553101894
